,GaussianNB,LogisticReg,DecisionTree,KNN,RandomForest,SVC RBF,Linear SVC,MLP,AdaBoost,XGBoost,LightGBM,RawNN,Hybrid LateFusion,Hybrid FeatureFusion RF,Hybrid FeatureFusion LR
GaussianNB,,1.2984654404152949e-18,1.0975373210479346e-07,2.304381976638021e-08,7.035411798322139e-34,3.7405654792317085e-24,1.1685935146394135e-17,6.87842089668797e-26,0.010938161,1.782999608406017e-34,6.860893208421095e-35,7.035411798322139e-34,1.2093951521087077e-37,1.4095230883636734e-28,2.9807592135915934e-05
LogisticReg,1.2984654404152949e-18,,0.000987274,0.000545067,3.676062479388529e-06,0.026856696,0.5610799295856818,9.260357274053562e-05,1.2537844563281146e-08,4.229244891189522e-08,1.1980515808278558e-07,3.676062479388529e-06,2.9994051121290594e-10,0.000685037,2.04034094141228e-08
DecisionTree,1.0975373210479346e-07,0.000987274,,0.9441825132504833,2.479041965174876e-15,1.1183505260230478e-06,0.003800068,6.558420777676696e-10,0.007107141,1.7787314849784502e-18,2.828403486913084e-18,2.479041965174876e-15,1.192887111316367e-20,6.579660325361834e-12,0.14729913862267172
KNN,2.304381976638021e-08,0.000545067,0.9441825132504833,,2.479041965174876e-15,6.938715858875826e-08,0.002091493,1.2331301912493586e-10,0.008671107,3.489703229459142e-16,1.5364755444124248e-17,2.479041965174876e-15,1.707521930153969e-19,1.9646358023817896e-11,0.14729913862267172
RandomForest,7.035411798322139e-34,3.676062479388529e-06,2.479041965174876e-15,2.479041965174876e-15,,0.000966454,6.28026409717918e-07,0.1589175496852256,1.0806483087229334e-21,0.40278369424647564,0.2750923766358878,1,0.22182319830680236,0.056779823,1.5455974071750608e-17
SVC RBF,3.7405654792317085e-24,0.026856696,1.1183505260230478e-06,6.938715858875826e-08,0.000966454,,0.010042892,0.064973103,1.1166278642957655e-12,0.000211,8.492988560170945e-05,0.000966454,3.2604142082421435e-06,0.078255023,1.1557460629092277e-10
Linear SVC,1.1685935146394135e-17,0.5610799295856818,0.003800068,0.002091493,6.28026409717918e-07,0.010042892,,3.263528714756129e-05,2.5323082278735023e-07,1.129951488860945e-08,8.36704744564633e-09,6.28026409717918e-07,9.232443264815493e-11,0.000186381,8.791653359257552e-07
MLP,6.87842089668797e-26,9.260357274053562e-05,6.558420777676696e-10,1.2331301912493586e-10,0.1589175496852256,0.064973103,3.263528714756129e-05,,3.0073922418704173e-16,0.031823127,0.020044669,0.1589175496852256,0.005355458,1,1.230897885078643e-15
AdaBoost,0.010938161,1.2537844563281146e-08,0.007107141,0.008671107,1.0806483087229334e-21,1.1166278642957655e-12,2.5323082278735023e-07,3.0073922418704173e-16,,9.455530467025506e-24,1.378160559106281e-23,1.0806483087229334e-21,8.884217442692462e-24,4.110615463644413e-18,0.2062798502524051
XGBoost,1.782999608406017e-34,4.229244891189522e-08,1.7787314849784502e-18,3.489703229459142e-16,0.40278369424647564,0.000211,1.129951488860945e-08,0.031823127,9.455530467025506e-24,,0.8917558535067943,0.40278369424647564,0.7835304977741095,0.011087621088163921,2.746787824071045e-20
LightGBM,6.860893208421095e-35,1.1980515808278558e-07,2.828403486913084e-18,1.5364755444124248e-17,0.2750923766358878,8.492988560170945e-05,8.36704744564633e-09,0.020044669,1.378160559106281e-23,0.8917558535067943,,0.2750923766358878,1,0.005188608,2.5460136013423502e-20
RawNN,7.035411798322139e-34,3.676062479388529e-06,2.479041965174876e-15,2.479041965174876e-15,1,0.000966454,6.28026409717918e-07,0.1589175496852256,1.0806483087229334e-21,0.40278369424647564,0.2750923766358878,,0.22182319830680236,0.056779823,1.5455974071750608e-17
Hybrid LateFusion,1.2093951521087077e-37,2.9994051121290594e-10,1.192887111316367e-20,1.707521930153969e-19,0.22182319830680236,3.2604142082421435e-06,9.232443264815493e-11,0.005355458,8.884217442692462e-24,0.7835304977741095,1,0.22182319830680236,,0.003046813,3.468203359131951e-22
Hybrid FeatureFusion RF,1.4095230883636734e-28,0.000685037,6.579660325361834e-12,1.9646358023817896e-11,0.056779823,0.078255023,0.000186381,1,4.110615463644413e-18,0.011087621088163921,0.005188608,0.056779823,0.003046813,,1.3988184956173852e-14
Hybrid FeatureFusion LR,2.9807592135915934e-05,2.04034094141228e-08,0.14729913862267172,0.14729913862267172,1.5455974071750608e-17,1.1557460629092277e-10,8.791653359257552e-07,1.230897885078643e-15,0.2062798502524051,2.746787824071045e-20,2.5460136013423502e-20,1.5455974071750608e-17,3.468203359131951e-22,1.3988184956173852e-14,
